name,institution,year,field,undergrad,doctorate
"Jacob T. Biehl","University of Pittsburgh","2019","Human-Computer Interaction","University of Illinois at Urbana-Champaign","University of Illinois at Urbana-Champaign"
"Seong Jae Hwang","University of Pittsburgh","2019","Computer Vision","University of Illinois at Urbana-Champaign","University of Wisconsin-Madison"
"John Criswell","University of Rochester","2014","Computer Security","University of Illinois at Urbana-Champaign","University of Illinois at Urbana-Champaign"
"Raymond J. Mooney","University of Texas at Austin","1988","Artificial Intelligence","University of Illinois at Urbana-Champaign","University of Illinois at Urbana-Champaign"
"Sujay Sanghavi","University of Texas at Austin","2010","Machine Learning & Data Mining","University of Illinois at Urbana-Champaign","University of Illinois at Urbana-Champaign"
"Benjamin Adam Raichel","University of Texas at Dallas","2015","Algorithms & Complexity","University of Illinois at Urbana-Champaign","University of Illinois at Urbana-Champaign"
"Kyle Fox","University of Texas at Dallas","2017","Algorithms & Complexity","University of Illinois at Urbana-Champaign","University of Illinois at Urbana-Champaign"
"Yu Meng","University of Virginia","2024","Machine Learning & Data Mining","University of Illinois at Urbana-Champaign","University of Illinois at Urbana-Champaign"
"Linda G. Shapiro","University of Washington","1986","Computer Vision","University of Illinois at Urbana-Champaign","University of Iowa"
"Jeff Linderoth","University of Wisconsin-Madison","2007","Programming Languages","University of Illinois at Urbana-Champaign","Georgia Institute of Technology"
"Paul Barford","University of Wisconsin-Madison","2001","Computer Networks","University of Illinois at Urbana-Champaign","Boston University"
"Tej Chajed","University of Wisconsin-Madison","2023","Operating Systems","University of Illinois at Urbana-Champaign","Massachusetts Institute of Technology"
"Yong Jae Lee","University of Wisconsin-Madison","2021","Computer Vision","University of Illinois at Urbana-Champaign","University of Texas at Austin"
"Xun Jian","Virginia Tech","2017","Computer Architecture","University of Illinois at Urbana-Champaign","University of Illinois at Urbana-Champaign"
"Larry B. Holder","Washington State University","2006","Artificial Intelligence","University of Illinois at Urbana-Champaign","University of Illinois at Urbana-Champaign"
"Sandip Roy","Washington State University","2003","Computer Networks","University of Illinois at Urbana-Champaign","Massachusetts Institute of Technology"
